Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
2.748737084,255.9637565,2453,818,"315210.22,2899448.82,253"
2.748737084,255.9637565,2453,1047,"314910.22,2899748.82,247"
2.748737084,255.9637565,2453,1230,"314910.22,2899448.82,245"
16.08657135,304.01935,2108,1057,"314310.22,2899448.82,313"
16.08657135,304.01935,2108,1219,"314610.22,2899748.82,326"
16.08657135,304.01935,2108,1046,"314310.22,2899748.82,286"
20.82733247,219.8055711,2432,549,"314610.22,2900048.82,374"
20.82733247,219.8055711,2432,1219,"314610.22,2899748.82,326"
20.82733247,219.8055711,2432,1046,"314310.22,2899748.82,286"
27.71682201,183.4473869,2066,549,"314610.22,2900048.82,374"
27.71682201,183.4473869,2066,1046,"314310.22,2899748.82,286"
27.71682201,183.4473869,2066,1036,"314310.22,2900048.82,369"
18.40893503,354.8055711,1592,549,"314610.22,2900048.82,374"
18.40893503,354.8055711,1592,1036,"314310.22,2900048.82,369"
18.40893503,354.8055711,1592,799,"314310.22,2900348.82,314"
16.25491379,285.4612177,680,549,"314610.22,2900048.82,374"
16.25491379,285.4612177,680,799,"314310.22,2900348.82,314"
